node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note,node_type
10104202,BEADE INTERNATIONAL LIMITED,BEADE INTERNATIONAL LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,557945,10-NOV-2003,02-MAY-2008,30-APR-2008,,Defaulted,Mossack Fonseca,567223,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10104962,EDRA SECURITIES LIMITED,EDRA SECURITIES LIMITED,,BVI,British Virgin Islands,,FINANCIAL CONSULTANTS (JERSEY) LIMITED CENTENARY HOUSE LA GRANDE ROUTE DE ST PIERRE ST PETER JERSEY JE3 7AY,560555,17-MAR-2004,,,,Active,Mossack Fonseca,586713,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10104967,CHAVER LIMITED,CHAVER LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,563029,07-JUL-2004,,,,Active,Mossack Fonseca,604998,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10105412,COMMERCIAL PROPERTY HOLDINGS LIMITED,COMMERCIAL PROPERTY HOLDINGS LIMITED,,BVI,British Virgin Islands,,"JERSEY TRUST COMPANY PO BOX 1075  ELIZABETH HOUSE 9 CASTLE STREET ST. HELIER, JERSEY JE4 2QP CHANNEL ISLANDS UNITED KINGDOM",557068,24-SEP-2003,30-MAR-2015,30-APR-2016,,Changed agent,Mossack Fonseca,561180,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10105624,ALFIE SERVICES LIMITED,ALFIE SERVICES LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,557197,01-OCT-2003,03-MAY-2006,30-APR-2006,,Defaulted,Mossack Fonseca,562384,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10105785,RICKARD HOLDINGS LIMITED,RICKARD HOLDINGS LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,557430,10-OCT-2003,,,,Active,Mossack Fonseca,563793,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10106155,HUDLOCK MINERALS LIMITED,HUDLOCK MINERALS LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,565000,08-OCT-2004,02-MAY-2007,30-APR-2007,,Defaulted,Mossack Fonseca,618202,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10106473,AMY DEVELOPMENTS LIMITED,AMY DEVELOPMENTS LIMITED,,BVI,British Virgin Islands,,FINANCIAL CONSULTANTS (JERSEY) LIMITED CENTENARY HOUSE LA GRANDE ROUTE DE ST PIERRE ST PETER JERSEY JE3 7AY,560688,23-MAR-2004,,,,Active,Mossack Fonseca,587712,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10107216,GRAND FIVE INVESTMENTS LIMITED,GRAND FIVE INVESTMENTS LIMITED,,BVI,British Virgin Islands,,"JERSEY TRUST COMPANY PO BOX 1075  ELIZABETH HOUSE 9 CASTLE STREET ST. HELIER, JERSEY JE4 2QP CHANNEL ISLANDS UNITED KINGDOM",559970,19-FEB-2004,28-JUN-2011,31-OCT-2012,,Changed agent,Mossack Fonseca,582598,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
10108611,URAVAN LIMITED,URAVAN LIMITED,,BVI,British Virgin Islands,,MINERVA TRUST & CORPORATE SERVICES LIMITED P.O. BOX 218 43-45 LA MOTTE STREET; ST. HELIER JE4 8SD; JERSEY UNITED KINGDOM,566623,17-DEC-2004,06-FEB-2007,30-APR-2008,,Dissolved,Mossack Fonseca,630705,JEY,Jersey,Panama Papers,The Panama Papers data is current through 2015,,company
